order_id,order_date,order_status
41643,2014-04-08 00:00:00.0,PENDING
61629,2013-12-21 00:00:00.0,CANCELED
51800,2014-06-14 00:00:00.0,ON_HOLD
42915,2014-04-16 00:00:00.0,COMPLETE
61777,2013-12-26 00:00:00.0,COMPLETE
13544,2013-10-16 00:00:00.0,PENDING
6160,2013-09-02 00:00:00.0,COMPLETE
5303,2013-08-26 00:00:00.0,PENDING
4799,2013-08-23 00:00:00.0,PENDING_PAYMENT
1868,2013-08-03 00:00:00.0,CLOSED
65117,2014-05-01 00:00:00.0,ON_HOLD
42724,2014-04-15 00:00:00.0,PENDING
15703,2013-11-02 00:00:00.0,COMPLETE
58917,2013-09-07 00:00:00.0,PAYMENT_REVIEW
55979,2014-07-14 00:00:00.0,COMPLETE
55456,2014-07-10 00:00:00.0,COMPLETE
49279,2014-05-28 00:00:00.0,COMPLETE
49334,2014-05-28 00:00:00.0,COMPLETE
44064,2014-04-24 00:00:00.0,COMPLETE
37846,2014-03-15 00:00:00.0,COMPLETE
29787,2014-01-25 00:00:00.0,PENDING_PAYMENT
17889,2013-11-13 00:00:00.0,PENDING_PAYMENT
17973,2013-11-13 00:00:00.0,PENDING
58652,2013-08-27 00:00:00.0,ON_HOLD
67110,2014-07-14 00:00:00.0,PENDING
51865,2014-06-15 00:00:00.0,PROCESSING
49678,2014-05-31 00:00:00.0,PENDING
46217,2014-05-07 00:00:00.0,CLOSED
45894,2014-05-06 00:00:00.0,CLOSED
63146,2014-02-13 00:00:00.0,PENDING_PAYMENT
29109,2014-01-21 00:00:00.0,ON_HOLD
29232,2014-01-21 00:00:00.0,ON_HOLD
28244,2014-01-15 00:00:00.0,PENDING_PAYMENT
27585,2014-01-12 00:00:00.0,PROCESSING
25614,2013-12-30 00:00:00.0,CLOSED
22927,2013-12-13 00:00:00.0,CLOSED
22812,2013-12-12 00:00:00.0,PENDING
3870,2013-08-17 00:00:00.0,PENDING_PAYMENT
4032,2013-08-17 00:00:00.0,ON_HOLD
3774,2013-08-16 00:00:00.0,CANCELED
68664,2014-07-15 00:00:00.0,PROCESSING
36113,2014-03-04 00:00:00.0,PAYMENT_REVIEW
27185,2014-01-10 00:00:00.0,PENDING_PAYMENT
1583,2013-08-02 00:00:00.0,CLOSED
51155,2014-06-10 00:00:00.0,CLOSED
47454,2014-05-14 00:00:00.0,SUSPECTED_FRAUD
37793,2014-03-14 00:00:00.0,PROCESSING
34239,2014-02-20 00:00:00.0,ON_HOLD
32451,2014-02-10 00:00:00.0,COMPLETE
60047,2013-10-22 00:00:00.0,COMPLETE
68733,2013-10-16 00:00:00.0,CLOSED
58205,2013-08-11 00:00:00.0,COMPLETE
68833,2014-04-30 00:00:00.0,PENDING_PAYMENT
64983,2014-04-25 00:00:00.0,ON_HOLD
39786,2014-03-28 00:00:00.0,PENDING_PAYMENT
31222,2014-02-03 00:00:00.0,PROCESSING
21970,2013-12-06 00:00:00.0,SUSPECTED_FRAUD
12917,2013-10-12 00:00:00.0,PENDING_PAYMENT
46349,2014-05-08 00:00:00.0,PENDING_PAYMENT
44661,2014-04-27 00:00:00.0,PENDING_PAYMENT
37335,2014-03-12 00:00:00.0,COMPLETE
33722,2014-02-18 00:00:00.0,COMPLETE
28829,2014-01-19 00:00:00.0,PENDING_PAYMENT
24622,2013-12-24 00:00:00.0,COMPLETE
12404,2013-10-08 00:00:00.0,PROCESSING
42383,2014-04-12 00:00:00.0,COMPLETE
63160,2014-02-14 00:00:00.0,ON_HOLD
32304,2014-02-10 00:00:00.0,PROCESSING
